id,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2
352,217.6981,42.06396,140.35954,113.89108,138.90002,0.73549145
353,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
354,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
355,97.04867,27.125,88.53744,84.8045,70.06831,2.938856
356,248.21628,44.424572,166.14871,117.816284,163.58446,0.35652244
357,558.48065,61.379852,448.3376,144.24052,448.25964,3.3978798
358,156.91663,33.639946,106.19734,98.15662,101.08748,1.2986878
359,348.7253,59.350475,249.6468,138.72696,248.37798,0.9760998
360,215.90253,44.97427,135.15587,119.262024,133.4247,0.29345614
361,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317
362,363.51694,67.62754,260.16617,148.50133,259.4063,1.6157753
363,429.72702,76.5774,321.0706,159.8434,321.0205,1.1400805
364,131.59729,32.567398,98.23886,96.69565,88.139984,0.63199586
365,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
