id,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
307,1,1,0,0,0,0
308,86,140,55,2,8,206
309,30,56,28,1,2,66
310,22,40,22,0,0,55
311,0,0,0,0,0,1
312,0,0,0,0,0,0
313,0,0,0,0,0,0
314,120,204,101,13,4,394
315,0,0,1,0,0,0
1,0,0,0,0,0,1
2,0,1,0,0,0,1
3,5,2,2,0,0,4
4,17,30,14,2,0,113
5,17,28,18,1,0,42
6,0,0,0,0,0,0
7,47,103,70,4,5,261
8,92,242,106,8,3,539
9,0,0,0,0,0,0
10,8,13,8,0,0,20
11,1,4,0,0,0,4
12,0,0,0,0,0,0
13,0,3,0,0,0,1
14,1,10,3,0,1,12
15,2,0,1,0,0,4
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,2,3,0,0,0,5
20,0,0,0,0,0,0
21,0,0,2,0,0,0
22,1,1,0,0,0,1
23,120,143,71,2,2,195
24,17,56,9,1,2,29
25,0,0,0,0,0,0
26,0,1,0,0,0,0
27,61,289,88,6,0,473
28,42,76,33,2,0,175
29,43,95,62,8,1,267
30,20,44,27,0,1,71
31,2,2,2,0,0,9
32,0,3,1,0,0,1
33,19,19,21,1,1,44
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
316,0,0,0,0,0,0
317,0,0,0,0,0,0
318,6,6,2,0,0,13
319,0,0,0,0,0,0
320,4,18,13,1,0,62
321,22,77,15,2,2,65
322,1,1,0,0,0,0
323,20,64,13,2,2,39
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,0,0,0,0,0,1
327,0,0,0,0,0,0
328,0,0,0,0,0,0
329,2,24,6,0,0,13
330,1,0,0,0,0,0
331,1,0,0,0,0,0
332,0,1,0,0,0,0
333,0,0,0,0,0,0
334,0,3,0,0,0,3
335,34,103,36,2,0,202
336,41,151,48,2,1,198
337,0,0,0,0,0,0
338,2,4,4,0,0,17
339,0,0,0,0,0,0
340,0,0,0,0,0,0
341,59,87,36,2,0,135
342,0,0,0,0,0,0
343,13,15,8,0,0,21
344,0,0,0,0,0,0
345,83,234,93,11,0,473
346,1,1,1,0,0,0
347,36,95,34,2,1,107
348,12,40,15,1,0,34
349,1,7,3,0,0,6
350,32,64,43,0,0,75
351,0,0,0,0,0,0
352,0,0,0,0,0,0
353,4,0,2,0,0,2
354,0,1,0,0,0,0
355,0,0,0,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,0,0,0,0,0,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,0,0,0
365,0,0,0,0,0,0
