,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
309,Shubra Al-Khayma 2,Kalyoubia,22.0,40.0,22.0,,,55.0
310,Shubra Khit,Behera,,,,,,1.0
311,Sidfa,Assiut,,,,,,
312,Sidi Barani,Matrouh,,,,,,
313,Sidi Gabir,Alexandria,87.0,203.625,93.0,11.0,4.0,41.0
314,Sidi Salim,Kafr El-Shikh,,,1.0,,,
315,Sinbillawin,Dakahlia,,,,,,
316,Sinuras,Fayoum,,,,,,
317,Sirs Al-Layyana City,Menoufia,6.0,6.0,2.0,,,13.0
318,Siwa,Matrouh,,,,,,
319,Suez,Suez,4.0,18.0,13.0,1.0,,62.0
320,Suhag,Suhag,22.0,77.0,15.0,2.0,2.0,65.0
321,Suhag,Suhag,1.0,1.0,,,,
322,Suhag-2,Suhag,20.0,64.0,13.0,2.0,2.0,39.0
323,Suhag City,Suhag,,,,,,
324,Sumusta,Beni Suef,,,,,,
325,Taba,South Sinai,,,,,,1.0
326,Tahta,Suhag,,,,,,
327,"Tal al-Kabir, al-",Ismailia,,,,,,
328,Tala,Menoufia,2.0,24.0,6.0,,,13.0
329,Talkha,Dakahlia,1.0,,,,,
330,Tama,Suhag,1.0,,,,,
331,Tamy Al-Amdid,Dakahlia,,1.0,,,,
332,Tamya,Fayoum,,,,,,
333,Tanta,Gharbia,,3.0,,,,3.0
334,Tanta 1,Gharbia,34.0,103.0,36.0,2.0,,202.0
335,Tanta 2,Gharbia,41.0,151.0,48.0,2.0,1.0,198.0
336,Tiba police station,Luxor,,,,,,
337,Tukh,Kalyoubia,2.0,4.0,4.0,,,17.0
338,Tura,Cairo,,,,,,
339,Tushaka,Aswan,,,,,,
340,Umraniyya,Giza,59.0,87.0,36.0,2.0,,135.0
341,Wadi Al-NatrUn,Behera,,,,,,
342,Waraq,Giza,13.0,15.0,8.0,,,21.0
343,Yousef El sadeq,Fayoum,,,,,,
344,Zamalik,Cairo,83.0,203.625,93.0,11.0,,41.0
345,Zaqaziq,Sharkia,1.0,1.0,1.0,,,
346,Zaqaziq 1,Sharkia,36.0,95.0,34.0,2.0,1.0,107.0
347,Zaqaziq 2,Sharkia,12.0,40.0,15.0,1.0,,34.0
348,Zarqa,Damietta,1.0,7.0,3.0,,,6.0
349,Zawiyya Al-Hamra,Cairo,32.0,64.0,43.0,,,75.0
350,Zemam Out,Cairo,,,,,,
351,Zemam Out,Alexandria,,,,,,
352,Zemam Out,Sharkia,4.0,,2.0,,,2.0
353,Zemam Out,Kalyoubia,,1.0,,,,
354,Zemam Out,Behera,,,,,,
355,Zemam Out,Giza,,,,,,
356,Zemam Out,Beni Suef,,,,,,
357,Zemam Out,Fayoum,,,,,,
358,Zemam Out,Menia,,,,,,
359,Zemam Out,Aswan,,,,,,
360,Zemam Out,Luxor,,,,,,
361,Zemam Out,Assiut,,,,,,
362,Zemam Out,Suhag,,,,,,
363,Zemam Out,Qena,,,,,,
364,Zifta,Gharbia,,,,,,
