name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
Fayyum,قسم الفيوم,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,1.12,Fayoum,الفيوم
Nuweiba,قسم نويبع,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,1.12,South Sinai,جنوب سيناء
Fayyum,مركز الفيوم,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,2.68,Fayoum,الفيوم
Atsa,مركز أطسا,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,0.0,Fayoum,الفيوم
Fayyum City,مدينة الفيوم الجديدة,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,0.0,Fayoum,الفيوم
Fuwwa,مركز فوه,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,0.5,Kafr El-Shikh,كفر الشيخ
Gamaliyya,قسم الجمالية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.25,Cairo,القاهرة
Bab Sharqi,قسم باب شرقى,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,0.67,Alexandria,الاسكندرية
Gamaliyya,مركز الجمالية,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994,0.67,Dakahlia,الدقهلية
Gamsa,قسم جمصة,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993,2.06,Dakahlia,الدقهلية
Girga,قسم جرجا,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922,6.62,Suhag,سوهاج
Girga,مركز جرجا,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922,8.69,Suhag,سوهاج
Giza,قسم الجيزة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,7.48,Giza,الجيزة
Giza,مركز الجيزة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,19.95,Giza,الجيزة
Guhayna Al-Gharbiyya,مركز جهينة الغربية,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232,16.55,Suhag,سوهاج
Hadaiq Al-Qubba,قسم حدائقالقبة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.8,Cairo,القاهرة
Halayib,قسم حلايب,59.211937,18.540249,68.52713,68.01538,48.329365,0.06911695,0.0,Red Sea,البحر الأحمر
Hihya,مركز ههيا,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,4.37,Sharkia,الشرقية
Hilwan,قسم حلوان,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.25,Cairo,القاهرة
Hurghada 1,قسم أول الغردقة,41.863228,13.977878,69.48713,57.859932,34.968143,0.1894105,0.0,Red Sea,البحر الأحمر
Hurghada 2,قسم ثان الغردقة,33.173153,13.297551,69.32555,56.773922,28.788939,0.5263001,0.01,Red Sea,البحر الأحمر
Hush Isa,مركز حوش عيسى,69.57865,23.198238,82.72896,76.86293,55.36296,4.492263,4.01,Behera,البحيرة
Hwamdeia,قسم الحوامدية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,38.28,Giza,الجيزة
Idku,مركز إدكو,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,70.19,Behera,البحيرة
Imbaba,قسم امبابه,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.0,Giza,الجيزة
Imbaba,مركز إمبابة,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,39.09,Giza,الجيزة
Ismailiyya,مركز الاسماعيلية,24.107218,14.658548,72.81264,60.678448,21.947304,4.001569,0.01,Ismailia,الإسماعيلية
Ismailiyya 1,قسم أول الاسماعيلية,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894,1.29,Ismailia,الإسماعيلية
Ismailiyya 2,قسم ثان الاسماعيلية,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894,7.06,Ismailia,الإسماعيلية
Ismailiyya 3,قسم ثالث الاسماعيلية,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894,0.19,Ismailia,الإسماعيلية
Isna,مركز إسنا,316.95908,65.302055,209.68924,147.28464,209.00455,0.95147413,19.66,Qena,قنا
Itay Al-Barud,مركز إيتاى البارود,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,1.6,Behera,البحيرة
Kafr Al-Dawwar,قسم كفرالدوار,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,1.48,Behera,البحيرة
Kafr Al-Dawwar,مركز كفر الدوار,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.58,Behera,البحيرة
