district_id,district_en,district_ar,governorate_en,governorate_ar,district_lat,district_lon
qusir-eg3102,Qusir,قسم القصير,Red Sea,البحر الأحمر,25.957,33.951
qina-eg2701,Qina,قسم قنا,Qena,قنا,26.165,32.712
al-aguza-eg2102,Al-Aguza,قسم العجوزة,Giza,الجيزة,30.059,31.204
minshat-nasir-eg0134,Minshat Nasir,منشأةناصر,Cairo,القاهرة,30.043,31.284
port-suez-police-department-eg0406,Port Suez Police Department,إدارة شرطة ميناء السويس,Suez,السويس,29.882,32.619
port-alexandria-police-department-eg0215,Port Alexandria Police Department,اداره شرطه ميناء الأسكندريه,Alexandria,الاسكندرية,31.18,29.876
police-department-port-said-port-eg0312,Police Department Port Said Port,إدارة شرطة ميناء بورسعيد,Port Said,بورسعيد,31.254,32.301
duqqi-eg2103,DuqqI,قسم الدقي,Giza,الجيزة,30.042,31.208
al-wayli-eg0122,Al Wayli,قسم الوايلي,Cairo,القاهرة,30.072,31.283
armant-eg2704,Armant,مركز أرمنت,Qena,قنا,25.612,32.492
farshut-eg2710,Farshut,مركز فرشوط,Qena,قنا,26.056,32.149
al-amreia-eg0213,Al Amreia,قسم العامرية,Alexandria,الاسكندرية,30.959,29.828
banha-eg1402,Banha,مركز بنها,Kalyoubia,القليوبية,30.443,31.248
muski-eg0110,Muski,قسم الموسكي,Cairo,القاهرة,30.05,31.252
talkha-eg1211,Talkha,مركز طلخا,Dakahlia,الدقهلية,31.109,31.383
banha-eg1401,Banha,قسم بنها,Kalyoubia,القليوبية,30.466,31.19
zifta-eg1609,Zifta,مركز زفتى,Gharbia,الغربية,30.728,31.215
al-sharabiyya-eg0118,Al Sharabiyya,قسم الشرابية,Cairo,القاهرة,30.082,31.264
zarqa-eg1107,Zarqa,مركز الزرقا,Damietta,دمياط,31.209,31.649
ras-gharib-eg3105,Ras Gharib,قسم رأس غارب,Red Sea,البحر الأحمر,28.506,32.377
ain-shams-eg0130,Ain Shams,قسم عينشمس,Cairo,القاهرة,30.123,31.33
al-zohour-eg0307,Al-Zohour,قسم الزهور,Port Said,بورسعيد,31.266,32.266
al-kharga-oasis-eg3201,Al-Kharga Oasis,مركز الواحات الخارجة,New Valley,الوادى الجديد,24.964,31.013
al-zaytun-eg0124,Al Zaytun,قسم الزيتون,Cairo,القاهرة,30.1,31.301
tiba-police-station-eg2903,Tiba police station,مركز شرطة طيبة,Luxor,مدينة الأقصر,25.738,32.703
north-coast-eg0218,North Coast,الساحل الشمالى,Alexandria,الاسكندرية,30.935,29.475
el-arish-4-eg3404,El Arish 4,قسم رابع العريش,North Sinai,شمال سيناء,30.851,33.596
kafr-al-dawwar-eg1811,Kafr Al-Dawwar,قسم كفرالدوار,Behera,البحيرة,31.137,30.133
hurghada-1-eg3101,Hurghada 1,قسم أول الغردقة,Red Sea,البحر الأحمر,27.129,33.244
el-arish-1-eg3401,El Arish 1,قسم أول العريش,North Sinai,شمال سيناء,31.12,33.824
al-dawahy-eg0305,Al-Dawahy,قسم الضواحى,Port Said,بورسعيد,31.246,32.28
al-salam-eg0132,Al Salam,قسم السلام,Cairo,القاهرة,30.162,31.428
tanta-2-eg1602,Tanta 2,قسم ثان طنطا,Gharbia,الغربية,30.786,30.989
sumusta-eg2208,Sumusta,مركز سمسطا,Beni Suef,بنى سويف,28.951,30.866
kafr-al-shaykh-eg1501,Kafr Al-Shaykh,قسم كفر الشيخ,Kafr El-Shikh,كفر الشيخ,31.119,30.941
6-october-1-eg2107,6 October-1,قسم أول 6 أكتوبر,Giza,الجيزة,29.985,30.963
15-mayu-eg0103,15 Mayu,قسم 15 مايو,Cairo,القاهرة,29.853,31.387
6-october-2-eg2121,6 October-2,قسم ثان 6 أكتوبر,Giza,الجيزة,29.941,30.908
hwamdeia-eg2108,Hwamdeia,قسم الحوامدية,Giza,الجيزة,29.902,31.253
al-attarin-eg0206,Al Attarin,قسم العطارين,Alexandria,الاسكندرية,31.198,29.904
matariyya-eg1206,Matariyya,مركز المطرية,Dakahlia,الدقهلية,31.191,32.004
umraniyya-eg2118,Umraniyya,قسم العمرانية,Giza,الجيزة,29.993,31.177
al-ghanayem-eg2508,Al-Ghanayem,مركز الغنايم,Assiut,أسيوط,26.922,31.329
al-matariyya-eg0125,Al Matariyya,قسم المطرية,Cairo,القاهرة,30.128,31.304
dahab-eg3506,Dahab,قسم دهب,South Sinai,جنوب سيناء,28.73,34.451
